"Category","Card Member","Account Number","Sub-Category","Date","Month Billed","Transaction","Charges $","Credits $"
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","08/26/07","September","BREDBO SERVICE STATION BREDBO NSW",73.76,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","08/29/07","September","AUTO MARINE & BP VINCENTIA VINCENTIA NSW",66.22,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","08/31/07","September","COLES EXPRESS FIVE DOCK NSW",66.31,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","10/28/07","November","MALTA STACJA NR 464 POZNAN POLAND",83.8,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","10/29/07","November","PKN STACJA NR 1255 SWIECKO POLAND",21.56,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","11/27/07","December","SHELL TANKSTELLE,GRASSAU",11.56,
"Auto","JAGNA KOWALSKA","XXXX-XXXXXX-99999","Gas","02/02/07","February","UNION 76            INCLINE VILLAGE   NV",37.0,
"Auto","JAGNA KOWALSKA","XXXX-XXXXXX-99999","Gas","03/06/07","March","UNION 76            INCLINE VILLAGE   NV",44.44,
"Auto","JAGNA KOWALSKA","XXXX-XXXXXX-99999","Gas","03/19/07","March","UNION 76            INCLINE VILLAGE   NV",33.33,
"Auto","JAGNA KOWALSKA","XXXX-XXXXXX-99999","Gas","03/26/07","April","UNION 76            INCLINE VILLAGE   NV",37.77,
"Auto","JAGNA KOWALSKA","XXXX-XXXXXX-99999","Gas","04/02/07","April","UNION 76            INCLINE VILLAGE   NV",44.44,
"Auto","JAGNA KOWALSKA","XXXX-XXXXXX-99999","Gas","04/16/07","April","UNION 76            INCLINE VILLAGE   NV",22.44,
"Auto","JAGNA KOWALSKA","XXXX-XXXXXX-99999","Gas","04/17/07","April","UNION 76            INCLINE VILLAGE   NV",30.0,
"Auto","JAGNA KOWALSKA","XXXX-XXXXXX-99999","Gas","05/16/07","May","CHEVRON 0202365     RENO              NV",30.01,
"Auto","JAGNA KOWALSKA","XXXX-XXXXXX-99999","Gas","06/29/07","July","CHEVRON 0202365     RENO              NV",47.74,
"Auto","JAGNA KOWALSKA","XXXX-XXXXXX-99999","Gas","07/03/07","July","UNION 76            INCLINE VILLAGE   NV",40.0,
"Auto","JAGNA KOWALSKA","XXXX-XXXXXX-99999","Gas","07/13/07","July","CITGO 7 ELEVEN 22581RENO              NV",38.0,
