"Category","Card Member","Account Number","Sub-Category","Date","Month Billed","Transaction","Charges $","Credits $"
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","01/06/07","January","NORTH TAHOE STATION KINGS BEACH       CA",4.5,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","01/06/07","January","NORTH TAHOE STATION KINGS BEACH       CA",35.43,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","01/11/07","February","CHEVRON 0301290     INCLINE VILLAGE   NV",37.32,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","01/18/07","February","UNION 76            TRUCKEE           CA",38.47,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","01/25/07","February","NORTH TAHOE STATION KINGS BEACH         CA",36.9,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","01/29/07","February","NORTH TAHOE STATION KINGS BEACH         CA",35.7,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","02/13/07","March","SHELL OIL           TRUCKEE           CA",40.2,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","02/19/07","March","SHELL OIL           TRUCKEE           CA",5.38,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","02/19/07","March","SHELL OIL           TRUCKEE           CA",38.59,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","02/24/07","March","SHELL OIL           TRUCKEE           CA",41.54,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","04/07/07","April","SHELL OIL           TRUCKEE           CA",49.63,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","04/14/07","May","CHEVRON 0301508     KINGS BEACH       CA",51.46,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","04/28/07","May","UNION 76            INCLINE VILLAGE   NV",49.31,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","05/05/07","May","CHEVRON 0202365     RENO              NV",51.83,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","05/18/07","June","SHELL OIL           SO SAN FRANCISCO  CA",33.65,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","06/17/07","July","UNION 76            TRUCKEE           CA",25.82,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","06/17/07","July","UNION 76            TRUCKEE           CA",28.03,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","06/24/07","July","CHEVRON 0090071     TAHOE CITY        CA",50.74,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","07/06/07","July","SHELL OIL           SUSANVILLE        CA",51.92,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","07/08/07","August","CHEVRON 0096870     CHICO             CA",47.61,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","07/08/07","August","TEXACO 0306411      GRANTS PASS       OR",41.72,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","07/15/07","August","SHELL OIL           BISHOP            CA",48.8,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","07/21/07","August","CHEVRON 0301508     KINGS BEACH       CA",51.35,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","07/26/07","August","CHEVRON 0301290     INCLINE VILLAGE   NV",51.05,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","07/31/07","August","CITGO 7 ELEVEN 18386INCLINE VILLAGE   NV",10.0,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","08/04/07","August","CHEVRON 0204464     GARDNERVILLE      NV",24.61,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","08/04/07","August","SHELL OIL           MINDEN            NV",33.58,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","08/12/07","September","CHEVRON 0204464     GARDNERVILLE      NV",37.48,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","08/18/07","September","ATTN AMEX ACCOUNTANTCONCORD             CA",34.74,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","08/19/07","September","SHELL OIL           MINDEN            NV",24.18,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","08/20/07","September","CHEVRON OIL 0202365 CONCORD             CA",15.04,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","09/03/07","September","KINGS BCH CHEVRN 030KINGS BEACH         CA",6.37,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","09/05/07","September","GALENA MARKET 020236RENO                NV",38.5,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","09/11/07","October","INCLINE VILLAGE 0301INCLINE VILLAGE     NV",48.01,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","09/15/07","October","SHELL OIL           MINDEN            NV",21.88,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","09/16/07","October","SHELL OIL           MINDEN            NV",31.0,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","09/29/07","October","AGIP SERVICE-STATION, MUENCHEN-FLUGHAFEN",37.12,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","11/13/07","December","CHEVRON KINGS BCH CHKINGS BEACH         CA",52.58,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","11/19/07","December","SHELL OIL           RENO              NV",51.19,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","11/20/07","December","CHEVRON WINNER'S CORBATTLE MOUNTAI      NV",41.92,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","11/20/07","December","SHELL OIL           EDEN              ID",36.77,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","11/25/07","December","EXXONMOBIL          IDAHO FALLS         ID",48.97,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","11/25/07","December","SHELL OIL           RENO              NV",48.52,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","11/25/07","December","SHELL OIL           WELLS             NV",45.41,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","12/21/07","January","CHEVRON GALENA MARKERENO                NV",49.27,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Gas","12/26/07","January","CHEVRON KINGS BCH CHKINGS BEACH         CA",54.65,
"Auto","JAN KOWALSKI","XXXX-XXXXXX-99999","Auto Services","09/05/07","September","LITHIA RENO SUB LITHRENO                NV",950.28,
"Fees and Adjustments","JAN KOWALSKI","XXXX-XXXXXX-99999","Fees And Adjustments","04/02/07","April","MEM RWDS ANNUAL PROGRAM FEE",40.0,
"Fees and Adjustments","JAN KOWALSKI","XXXX-XXXXXX-99999","Fees And Adjustments","08/08/07","August","Membership Renewal Fee",55.0,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Airline","01/21/07","February","UNITED AIRLINES      ROSEMONT     IL",780.54,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Airline","03/01/07","March","UNITED AIRLINES      RENO         NV",254.0,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Airline","03/18/07","April","UNITED AIRLINES      ROSEMONT     IL",1055.1,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Airline","03/18/07","April","UNITED AIRLINES      ROSEMONT     IL",1055.1,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Airline","03/31/07","April","UNITED AIRLINES      ROSEMONT     IL",679.6,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Airline","05/11/07","June","DELTA AIR LINES      ATLANTA      GA",114.22,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Airline","05/11/07","June","DELTA AIR LINES      ATLANTA      GA",114.22,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Airline","05/12/07","June","AIR FRANCE - USA SALES3",10.0,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Airline","05/12/07","June","AIR FRANCE - USA SALES3",10.0,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Airline","05/12/07","June","AIR FRANCE - USA SALES3",906.98,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Airline","05/12/07","June","AIR FRANCE - USA SALES3",906.98,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Airline","07/29/07","August","UNITED AIRLINES      ROSEMONT     IL",1192.69,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Airline","07/29/07","August","UNITED AIRLINES      ROSEMONT     IL",1192.69,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Airline","11/14/07","December","UNITED AIRLINES      MAKATI CITY, IL",710.22,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Car Rental","03/02/07","March","HERTZ - MAKATEL -, FRANKFURT",107.98,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Car Rental","03/10/07","April","HERTZ - MAKATEL -, FRANKFURT",764.95,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Car Rental","03/12/07","April","HERTZ RENT A CAR FINLAND",94.15,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Car Rental","03/15/07","April","HERTZ RENT A CAR FINLAND",659.19,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Car Rental","04/18/07","May","HERTZ - MAKATEL -, FRANKFURT",323.52,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Car Rental","05/18/07","June","HERTZ CAR RENTAL    INCLINE VILLA     NV",53.59,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Car Rental","06/01/07","June","JUMBO CAR SA, ABYMES",52.25,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Car Rental","06/02/07","July","HERTZ SA, TRAPPES CX",493.71,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Car Rental","06/18/07","July","HERTZ CAR RENTAL    SAN FRANCISCO     CA",134.6,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Car Rental","08/20/07","September","HERTZ CAR RENTAL    RENO              NV",68.47,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Car Rental","09/03/07","September","HERTZ AUSTRALIA PTY LTD",627.57,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Car Rental","09/04/07","September","HERTZ CAR RENTAL    RENO              NV",72.83,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Car Rental","09/28/07","October","HERTZ - MAKATEL -, FRANKFURT",85.41,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Car Rental","09/28/07","October","HERTZ CAR RENTAL    INCLINE VILLA     NV",68.62,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Car Rental","10/05/07","October","HERTZ AUSTRALIA PTY LTD",30.29,
"Travel","JAN KOWALSKI","XXXX-XXXXXX-99999","Car Rental","10/08/07","November","HERTZ - MAKATEL -, FRANKFURT",970.02,
